utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,7,0.0,89103,142622355571833,40,21.5,199.54193115234375,0.6889999508857727,16,0.0,0.0,1.57542003E9,,,,0,,6,2.77,15.5,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,27,0.0,89103,142622352131721,12,32.1,-478.3350524902344,0.0478999987244606,16,0.0,0.0,1.57542003E9,,,,0,,6,2.77,26.1,,,,,,
1633966604435,234702915000000,18,,-1317767119520671351,0.40166473388671875,42.522780859144405,-7.648400377018677,14.55164203690437,162,30,0.0,89103,142622356564164,84,16.8,57.76364517211914,1.7705000638961792,16,0.0,0.0,1.57542003E9,,,,0,,6,2.77,10.8,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,2,0.0,81935,142623352798635,9,35.2,528.3673095703125,0.03960000351071358,16,0.0,0.0,1.57542003E9,,,,0,,1,1.65,31.700000000000003,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,7,0.0,81935,142623362173651,35,22.7,432.3282165527344,0.7294999957084656,16,0.0,0.0,1.57542003E9,,,,0,,1,1.65,19.2,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,9,0.0,81935,142623354551630,31,23.9,581.9370727539062,0.6875,16,0.0,0.0,1.57542003E9,,,,0,,1,1.65,20.4,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,13,0.0,81935,142623363289447,17,28.9,-436.1137390136719,0.03779999911785126,16,0.0,0.0,1.57542003E9,,,,0,,1,1.65,25.4,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,14,0.0,81935,142623360627291,17,28.1,-558.9201049804688,0.033299997448921204,16,0.0,0.0,1.57542003E9,,,,0,,1,1.65,24.6,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,15,0.0,81935,142623355103316,19,27.0,-636.6826782226562,0.06379999965429306,16,0.0,0.0,1.57542003E9,,,,0,,1,1.65,23.5,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,20,0.0,81935,142623367405288,70,17.5,215.18409729003906,1.0869998931884766,16,0.0,0.0,1.57542003E9,,,,0,,1,1.65,14.0,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,30,0.0,81935,142623367140194,40,21.6,117.45877075195312,0.796999990940094,16,0.0,0.0,1.57542003E9,,,,0,,1,1.65,18.1,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,5,0.0,16399,142609302974002,16,29.4,9.18908977508545,7.051000118255615,16,0.0,0.0,1.56109798E9,,,,0,,5,2.37,23.4,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,10,0.0,16399,142609305596939,31,23.1,-92.85108947753906,0.5839999914169312,16,0.0,0.0,1.56109798E9,,,,0,,5,2.37,17.1,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,19,0.0,16399,142609364474420,31,23.9,-88.0693130493164,0.5824999809265137,16,0.0,0.0,1.56109798E9,,,,0,,5,2.37,17.9,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,20,0.0,16399,142609357929302,21,26.9,444.6916809082031,0.13670000433921814,16,0.0,0.0,1.56109798E9,,,,0,,5,2.37,20.9,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,22,0.0,16399,142609352755601,55,19.5,-542.84765625,1.5545001029968262,16,0.0,0.0,1.56109798E9,,,,0,,5,2.37,13.5,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,7,0.0,89103,142623355571175,31,23.0,200.56002807617188,0.5989999771118164,16,0.0,0.0,1.57542003E9,,,,0,,6,1.71,17.0,,,,,,
1633966605435,234703915000000,18,,-1317767119520671359,0.7424678802490234,57.645032939035445,-7.648400377018677,18.457892329668756,163,27,0.0,89103,142623352133321,13,31.8,-477.30279541015625,0.04919999837875366,16,0.0,0.0,1.57542003E9,,,,0,,6,1.71,25.8,,,,,,
1633966606435,234704915000000,18,,-1317767119520671326,0.8230457305908203,56.77832814399153,8.257812959848156,16.419726433193752,163,14,0.0,49359,67006370322171,84,16.2,-360.5341491699219,2.2215001583099365,16,0.0,0.0,1.59806246E9,,,,0,,3,-1.09,13.2,,,,,,
1633966606435,234704915000000,18,,-1317767119520671326,0.8230457305908203,56.77832814399153,8.257812959848156,16.419726433193752,163,2,0.0,81935,142624352796884,10,34.9,527.6915893554688,0.04010000079870224,16,0.0,0.0,1.57542003E9,,,,0,,1,2.87,31.4,,,,,,
1633966606435,234704915000000,18,,-1317767119520671326,0.8230457305908203,56.77832814399153,8.257812959848156,16.419726433193752,163,7,0.0,81935,142624362172177,24,25.4,431.4319763183594,0.384799987077713,16,0.0,0.0,1.57542003E9,,,,0,,1,2.87,21.9,,,,,,
1633966606435,234704915000000,18,,-1317767119520671326,0.8230457305908203,56.77832814399153,8.257812959848156,16.419726433193752,163,9,0.0,81935,142624354549615,35,22.5,581.7943725585938,0.7475000023841858,16,0.0,0.0,1.57542003E9,,,,0,,1,2.87,19.0,,,,,,
1633966606435,234704915000000,18,,-1317767119520671326,0.8230457305908203,56.77832814399153,8.257812959848156,16.419726433193752,163,13,0.0,81935,142624363290919,16,29.8,-436.7837219238281,0.031200002878904343,16,0.0,0.0,1.57542003E9,,,,0,,1,2.87,26.3,,,,,,
1633966606435,234704915000000,18,,-1317767119520671326,0.8230457305908203,56.77832814399153,8.257812959848156,16.419726433193752,163,14,0.0,81935,142624360629145,19,27.5,-559.5123901367188,0.04129999876022339,16,0.0,0.0,1.57542003E9,,,,0,,1,2.87,24.0,,,,,,
1633966606435,234704915000000,18,,-1317767119520671326,0.8230457305908203,56.77832814399153,8.257812959848156,16.419726433193752,163,15,0.0,81935,142624355105458,17,28.4,-637.4152221679688,0.055799998342990875,16,0.0,0.0,1.57542003E9,,,,0,,1,2.87,24.9,,,,,,
